"#","Reference","Qty","Qty Multiplier","Value","Description","Package","Footprint","Detailed Description","Datasheet","Manufacturer","Manufacturer Part Number","Mouser Link","Mouser Part Number","Exclude from BOM","DNP","Exclude from Board"
"1","C1,C2","2","","0.1uF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF+/-10% 50V X7R 0805","0805 (2012 Metric)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","https://www.mouser.ca/datasheet/2/585/MLCC-1837944.pdf","Samsung Electro-Mechanics","CL21B104KBCNNWC","https://www.mouser.ca/ProductDetail/Samsung-Electro-Mechanics/CL21B104KBCNNWC?qs=yOVawPpwOwlu2UTVxWhmlw%3D%3D","187-CL21B104KBCNNWC","","",""
"2","R1,R2,R4","3","","1K +-0.1%","Thin Film Resistors - SMD .05W 1Kohms 0.1% 0805 25ppm","0805 (2012 Metric)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.vishay.com/doc?28700","Vishay / Beyschlag ","MCU08050D1001BP500 ","https://www.mouser.ca/ProductDetail/Vishay-Beyschlag/MCU08050D1001BP500?qs=70au2ePzUrEv3lkXFeCKsQ%3D%3D","594-MCU0805D1001BP5 ","","",""
"3","R3","1","","500 ± 5%","Thin Film Resistors - SMD .2W 499ohms .5% 0805 25ppm Auto","0805 (2012 Metric)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.vishay.com/doc?28952","Vishay / Beyschlag ","MCU0805MD4990DP500 ","https://www.mouser.ca/ProductDetail/Vishay-Beyschlag/MCU0805MD4990DP500?qs=EzBFWPtgsb1DD3PTBSGEVQ%3D%3D","594-MCU0805MD4990DP5 ","","",""
"4","R5","1","","20K +-0.1%","Thin Film Resistors - SMD 1/8W 20K Ohms 0.1% 0805 25ppm","0805 (2012 Metric)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.mouser.ca/datasheet/2/392/n_catalog_partition01_en-1140338.pdf","Susumu ","RG2012P-203-B-T5 ","https://www.mouser.ca/ProductDetail/Susumu/RG2012P-203-B-T5?qs=juJhw1yPxAE0uzMTBmg8Hw%3D%3D","754-RG2012P-203-B-T5 ","","",""
"5","R6","1","","10K +-0.1%","Thin Film Resistors - SMD 1/8W 10K Ohms 0.1% 0805 25ppm","0805 (2012 Metric)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.mouser.ca/datasheet/2/392/n_catalog_partition01_en-1140338.pdf","Susumu ","RG2012P-103-B-T5 ","https://www.mouser.ca/ProductDetail/Susumu/RG2012P-103-B-T5?qs=juJhw1yPxAHrnD3%252BNCg9%252Bw%3D%3D","754-RG2012P-103-B-T5 ","","",""
"6","U2","1","","TLV9061SQDBVRQ1","Operational Amplifiers - Op Amps Automotive single 5.5-V 10-MHz rail-to","SOT-23-6 ","Package_TO_SOT_SMD:TSOT-23-6","","https://www.ti.com/lit/gpn/tlv9064-q1","Texas Instruments ","TLV9061SQDBVRQ1 ","https://www.mouser.ca/ProductDetail/Texas-Instruments/TLV9061SQDBVRQ1?qs=DRkmTr78QASJ%252B5bCrdR4jA%3D%3D","595-TLV9061SQDBVRQ1","","",""
"7","U1","1","","INA333AIDGKR","Instrumentation Amplifiers Lo Pwr Prec Inst Amp A 595-INA333AIDGKT","VSSOP-8","Lib:INA333AIDGKR_SOP65P490X110-8N","","https://www.ti.com/lit/gpn/ina333","Texas Instruments","INA333AIDGKR","https://www.mouser.ca/ProductDetail/Texas-Instruments/INA333AIDGKR?qs=nJRxFdq%252BlvaKwfZOdHFpKg%3D%3D","595-INA333AIDGKR","","",""
