"Reference","Value","Footprint","Mouser Link","Datasheet","Description","Mouser Part Number","Manufacturer Part Number","Manufacturer","Package","Detailed Description"
"C1,C2","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.ca/ProductDetail/Samsung-Electro-Mechanics/CL21B104KBCNNWC?qs=yOVawPpwOwlu2UTVxWhmlw%3D%3D","https://www.mouser.ca/datasheet/2/585/MLCC-1837944.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF+/-10% 50V X7R 0805","187-CL21B104KBCNNWC","CL21B104KBCNNWC","Samsung Electro-Mechanics","0805 (2012 Metric)",""
"S1","CONN_01X03_2.54MM","Lib:AdamTech_BHR-06-VUA","https://www.mouser.ca/ProductDetail/Adam-Tech/BHR-06-VUA?qs=HoCaDK9Nz5cobId%2FEjMHxg%3D%3D","https://www.mouser.ca/datasheet/2/4/bhr_xx_vua_data_sheet-3395636.pdf","Headers & Wire Housings CONN HEADER VERT 6POS 2.54MM"," 737-BHR-06-VUA","BHR-06-VUA","Adam Tech","",""
"U1","INA333AIDGKR","Lib:INA333AIDGKR_SOP65P490X110-8N","https://www.mouser.ca/ProductDetail/Texas-Instruments/INA333AIDGKR?qs=nJRxFdq%252BlvaKwfZOdHFpKg%3D%3D","https://www.ti.com/lit/gpn/ina333","Instrumentation Amplifiers Lo Pwr Prec Inst Amp A 595-INA333AIDGKT","595-INA333AIDGKR","INA333AIDGKR","Texas Instruments","VSSOP-8",""
"U2","TLV9061SQDBVRQ1","Package_TO_SOT_SMD:TSOT-23-6","https://www.mouser.ca/ProductDetail/Texas-Instruments/TLV9061SQDBVRQ1?qs=DRkmTr78QASJ%252B5bCrdR4jA%3D%3D","https://www.ti.com/lit/gpn/tlv9064-q1","Operational Amplifiers - Op Amps Automotive single 5.5-V 10-MHz rail-to","595-TLV9061SQDBVRQ1","TLV9061SQDBVRQ1 ","Texas Instruments ","SOT-23-6 ",""
"R1,R2,R4","1K +-0.1%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.ca/ProductDetail/Vishay-Beyschlag/MCU08050D1001BP500?qs=70au2ePzUrEv3lkXFeCKsQ%3D%3D","https://www.vishay.com/doc?28700","Thin Film Resistors - SMD .05W 1Kohms 0.1% 0805 25ppm","594-MCU0805D1001BP5 ","MCU08050D1001BP500 ","Vishay / Beyschlag ","0805 (2012 Metric)",""
"R3","500 ± 5%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.ca/ProductDetail/Vishay-Beyschlag/MCU0805MD4990DP500?qs=EzBFWPtgsb1DD3PTBSGEVQ%3D%3D","https://www.vishay.com/doc?28952","Thin Film Resistors - SMD .2W 499ohms .5% 0805 25ppm Auto","594-MCU0805MD4990DP5 ","MCU0805MD4990DP500 ","Vishay / Beyschlag ","0805 (2012 Metric)",""
"R5","20K +-0.1%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.ca/ProductDetail/Susumu/RG2012P-203-B-T5?qs=juJhw1yPxAE0uzMTBmg8Hw%3D%3D","https://www.mouser.ca/datasheet/2/392/n_catalog_partition01_en-1140338.pdf","Thin Film Resistors - SMD 1/8W 20K Ohms 0.1% 0805 25ppm","754-RG2012P-203-B-T5 ","RG2012P-203-B-T5 ","Susumu ","0805 (2012 Metric)",""
"R6","10K +-0.1%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.ca/ProductDetail/Susumu/RG2012P-103-B-T5?qs=juJhw1yPxAHrnD3%252BNCg9%252Bw%3D%3D","https://www.mouser.ca/datasheet/2/392/n_catalog_partition01_en-1140338.pdf","Thin Film Resistors - SMD 1/8W 10K Ohms 0.1% 0805 25ppm","754-RG2012P-103-B-T5 ","RG2012P-103-B-T5 ","Susumu ","0805 (2012 Metric)",""
